Room	Time	Team	Judges
GDC 5.302	4:15 - 4:22	1	
GDC 5.302	4:27 - 4:34	2	
GDC 5.302	4:39 - 4:46	3	
GDC 5.302	4:51 - 4:58	4	
GDC 5.302	5:03 - 5:10	5	
			
GDC 1.304	4:15 - 4:22	6	
GDC 1.304	4:27 - 4:34	7	
GDC 1.304	4:39 - 4:46	8	
GDC 1.304	4:51 - 4:58	9	
GDC 1.304	5:03 - 5:10	10	
			
GDC 1.406	4:15 - 4:22	11	
GDC 1.406	4:27 - 4:34	12	
GDC 1.406	4:39 - 4:46	13	
GDC 1.406	4:51 - 4:58	14	
GDC 1.406	5:03 - 5:10	15	
			
GDC 2.210	4:15 - 4:22	16	
GDC 2.210	4:27 - 4:34	17	
GDC 2.210	4:39 - 4:46	18	
GDC 2.210	4:51 - 4:58	19	
GDC 2.210	5:03 - 5:10	20	
			
GDC 2.410	4:15 - 4:22	21	
GDC 2.410	4:27 - 4:34	22	
GDC 2.410	4:39 - 4:46	23	
GDC 2.410	4:51 - 4:58	24	
GDC 2.410	5:03 - 5:10	25	
			
GDC 2.502	4:15 - 4:22	26	
GDC 2.502	4:27 - 4:34	27	
GDC 2.502	4:39 - 4:46	28	
GDC 2.502	4:51 - 4:58	29	
GDC 2.502	5:03 - 5:10	30	